,order_status,order_products_value,order_freight_value,order_items_qty,order_sellers_qty,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,review_score,most_voted_class,delta_purch_delivered,delta_est_delivered,delta_approve_purch,delta_review_date,delta_answer_date
0,0,89.99,14.38,1,1,82,9,10,59,492,3,5,2,9,21,0,0,1
1,0,69.0,15.23,1,1,613,9,11,50,679,4,5,2,3,27,0,0,3
2,0,99.8,15.86,2,4,740,24,33,59,341,2,1,0,8,20,1,0,9
3,0,87.0,12.74,1,1,650,24,36,45,411,1,4,0,16,36,1,0,1
4,0,99.9,17.95,1,2,640,17,12,60,189,1,3,0,12,26,0,0,3
6,0,229.9,30.01,1,1,259,14,45,54,1120,8,2,0,22,31,0,0,1
7,0,164.9,8.41,1,1,670,24,54,50,448,1,5,2,17,18,0,0,1
8,0,89.9,40.62,1,1,412,24,41,47,482,2,3,2,6,19,0,0,3
9,0,99.9,19.94,1,1,677,3,12,60,189,1,4,2,19,29,2,0,3
10,0,99.99,14.43,1,1,752,24,36,58,1390,2,5,1,13,37,0,0,1
11,0,65.9,17.2,1,1,517,17,12,46,104,1,5,2,19,35,1,0,4
12,0,137.4,12.17,1,1,752,24,39,46,3833,7,1,0,1,11,0,0,3
14,0,59.9,12.81,1,4,752,24,59,41,799,1,4,0,1,21,0,0,2
15,0,66.0,25.74,1,1,851,14,45,45,494,1,5,2,19,30,0,0,3
16,0,23.7,8.82,1,1,740,24,22,31,115,1,5,2,6,26,0,0,3
17,0,59.99,8.72,1,1,752,24,11,29,291,3,5,2,5,12,0,0,1
18,0,97.9,11.89,1,1,630,24,24,60,390,7,5,2,16,20,1,0,2
19,0,195.99,34.14,1,4,845,6,12,46,471,1,2,0,7,25,1,0,3
20,0,44.9,11.85,1,1,77,24,11,45,589,4,2,0,5,19,0,-1,2
21,0,89.9,14.8,1,1,265,16,13,56,187,1,4,2,11,23,0,0,3
22,0,89.9,16.26,1,1,366,24,12,54,245,1,5,2,7,15,0,0,1
23,0,56.99,49.11,1,6,722,18,12,50,405,1,1,0,8,27,1,0,1
24,0,53.99,7.78,1,1,715,24,52,44,334,1,5,2,3,13,0,0,1
25,0,41.3,0.69,1,4,301,24,27,52,1519,2,2,0,2,13,0,0,3
26,0,225.0,22.41,1,1,764,21,12,58,162,4,5,2,8,28,0,0,1
27,0,89.0,7.88,1,1,752,24,6,42,671,5,5,2,1,11,0,0,1
28,0,132.97,12.43,1,1,732,24,36,42,604,1,5,2,25,24,1,0,3
29,0,104.9,17.21,1,1,82,9,52,55,556,7,5,2,5,21,0,0,1
31,0,99.99,25.11,1,4,26,17,45,63,254,2,1,0,32,25,0,-5,-5
33,0,470.0,38.59,2,2,393,7,36,41,1482,3,5,2,8,23,0,0,5
34,0,149.99,16.68,1,1,302,24,12,52,662,1,5,2,9,21,0,0,1
35,0,86.0,11.42,1,2,489,24,7,33,888,1,5,2,8,29,0,0,3
36,0,119.99,13.86,1,1,623,24,26,52,2371,1,5,1,6,19,0,0,2
37,0,143.8,30.2,1,2,342,3,7,53,621,1,5,2,13,29,0,0,1
38,0,105.0,3.65,1,4,752,24,52,45,971,2,5,2,1,9,0,0,1
40,0,199.9,18.65,1,1,553,16,12,55,260,1,1,0,40,24,2,-13,-9
41,0,17.85,16.79,1,1,256,3,7,54,87,2,5,2,26,33,0,0,3
42,0,53.99,17.66,1,1,264,4,52,44,334,1,1,0,33,25,0,-7,-7
43,0,118.0,8.08,1,1,752,24,52,29,190,1,4,2,5,19,0,0,7
44,0,118.0,12.33,1,1,777,24,52,33,345,1,5,2,5,22,0,0,1
45,0,18.9,11.85,1,1,758,24,57,60,1440,4,4,2,10,23,0,0,1
46,0,19.9,12.48,1,1,493,24,24,46,331,1,5,1,10,25,0,0,1
47,0,59.9,12.76,1,1,752,24,31,56,336,1,5,2,12,31,0,0,1
50,0,155.0,15.84,1,1,640,17,36,36,327,1,5,2,17,22,0,0,1
51,0,349.99,18.76,1,1,66,9,11,64,484,2,5,2,6,21,0,0,1
52,0,140.0,12.61,1,4,369,24,42,43,1373,3,5,2,2,9,0,0,2
53,0,172.33,18.49,1,1,752,24,20,38,2648,4,4,2,14,19,3,0,3
54,0,204.0,14.45,1,1,752,24,54,42,782,1,4,1,7,17,0,0,1
55,0,222.0,36.06,3,1,301,24,12,51,291,1,5,2,8,19,0,0,1
58,0,246.62,20.27,1,1,82,9,57,50,1246,1,5,2,9,26,1,0,1
60,0,24.9,15.1,1,1,57,5,12,46,113,1,1,0,27,25,0,-14,-12
61,0,99.8,33.58,2,1,677,3,45,50,924,1,1,1,12,26,2,0,3
62,0,55.5,31.74,1,2,501,14,10,46,1305,1,5,2,9,29,0,0,4
63,0,69.9,12.83,1,1,784,24,12,58,689,1,4,2,4,18,0,0,7
64,0,113.0,24.39,1,4,66,9,45,55,130,1,3,0,5,20,0,0,2
65,0,233.0,10.85,1,1,740,24,52,51,805,1,5,2,3,13,0,0,2
66,0,135.9,18.2,1,1,82,9,10,46,2729,1,1,0,26,19,0,-5,-4
67,0,59.9,17.67,1,1,500,9,10,46,1305,1,5,2,9,29,0,0,1
68,0,69.9,7.31,1,2,630,24,12,57,535,1,5,2,20,20,0,0,4
69,0,34.2,11.73,1,1,492,24,59,45,711,1,5,2,2,21,0,0,3
70,0,27.9,7.78,1,1,138,24,12,33,471,1,1,0,5,11,0,0,5
71,0,89.99,22.1,1,1,690,9,59,52,1636,3,3,2,22,24,1,0,1
72,0,84.99,35.91,1,1,730,8,10,49,1495,3,1,0,46,29,0,-15,-15
73,0,89.9,17.88,1,1,26,17,12,58,188,1,1,0,35,33,0,-2,0
74,0,56.99,8.72,1,1,670,24,52,48,969,3,5,2,15,21,0,0,1
75,0,248.99,60.29,1,1,82,9,41,53,526,2,5,2,6,20,0,0,3
76,0,29.4,22.28,1,1,781,11,36,59,1165,3,5,2,27,33,0,0,3
